,Taxon_ID,Species_name_IUCN,Species_name,Common_name,Redlist_category,Threatened,Population_trend,Decreasing,Body_mass,Bill_length,Range_size,Elevation_min,Elevation_max,Elevation_range,Human_footprint,Migratory_status,Migratory_score,Forest_depend_status,Forest_depend_score,Hermit,Body_mass_log,Bill_length_log,Range_size_log
1,22686903,Glaucis_aeneus,Glaucis_aeneus,Bronzy Hermit,Least Concern,0,Unknown,NA,4.8,31.35,170965.1,0,1500,1500,29.58524011,Not a Migrant,0,Medium,0,1,1.568615918,3.445214267,12.04921472
2,22686911,Glaucis_hirsutus,Glaucis_hirsutus,Rufous-breasted Hermit,Least Concern,0,Decreasing,1,6.76,32.05,7820116.3,0,1800,1800,13.38743313,Not a Migrant,0,Low,0,1,1.91102289,3.467297183,15.87220998
3,22686919,Threnetes_niger,Threnetes_niger,Sooty Barbthroat,Least Concern,0,Unknown,NA,5.6,32.98,270305.8,NA,NA,NA,7.570723812,Not a Migrant,0,Medium,0,1,1.722766598,3.495901317,12.50730919
4,22686925,Threnetes_ruckeri,Threnetes_ruckeri,Band-tailed Barbthroat,Least Concern,0,Unknown,NA,5.2,33.2,482647.8,0,1200,1200,30.92537348,Not a Migrant,0,Medium,0,1,1.648658626,3.502549876,13.08704247
5,22686931,Phaethornis_yaruqui,Phaethornis_yaruqui,White-whiskered Hermit,Least Concern,0,Unknown,NA,5.4,45.35,119931.2,0,2000,2000,27.29952005,Altitudinal Migrant,1,High,1,1,1.686398954,3.814410177,11.69467352
6,22686934,Phaethornis_guy,Phaethornis_guy,Green Hermit,Least Concern,0,Unknown,NA,6.3,41.62,555184.1,0,2200,2200,23.21335473,Not a Migrant,0,Medium,0,1,1.840549633,3.728580821,13.22705505
7,22686937,Phaethornis_syrmatophorus,Phaethornis_syrmatophorus,Tawny-bellied Hermit,Least Concern,0,Unknown,NA,5.8,43.21,159647,1000,2300,1300,23.8423389,Not a Migrant,0,High,1,1,1.757857918,3.76607195,11.98072041
8,22686955,Phaethornis_anthophilus,Phaethornis_anthophilus,Pale-bellied Hermit,Least Concern,0,Unknown,NA,5.9,36.53,413683.5,0,1500,1500,29.49908423,Not a Migrant,0,Medium,0,1,1.774952351,3.598133841,12.93285647
9,22686961,Phaethornis_koepckeae,Phaethornis_koepckeae,Koepcke's Hermit,Near Threatened,0,Decreasing,1,5.03,37.08,112547.5,270,1130,860,14.8659664,Not a Migrant,0,High,1,1,1.615419984,3.613077741,11.63113063
10,22686965,Phaethornis_philippii,Phaethornis_philippii,Needle-billed Hermit,Least Concern,0,Unknown,NA,5,35.98,1596477.1,0,325,325,7.302827385,Not a Migrant,0,High,1,1,1.609437912,3.582963229,14.28330995
11,22686976,Phaethornis_pretrei,Phaethornis_pretrei,Planalto Hermit,Least Concern,0,Unknown,NA,5.6,35.4,3736295.8,400,2100,1700,23.43103788,Not a Migrant,0,Medium,0,1,1.722766598,3.56671182,15.13360525
12,22686985,Anopetia_gounellei,Anopetia_gounellei,Broad-tipped Hermit,Least Concern,0,Unknown,NA,3,25.38,534919.7,500,700,200,24.70917677,Not a Migrant,0,Low,0,1,1.098612289,3.233961462,13.18987192
13,22686991,Phaethornis_ruber,Phaethornis_ruber,Reddish Hermit,Least Concern,0,Decreasing,1,2.4,24.09,9728594.2,0,1500,1500,14.08779133,Not a Migrant,0,Medium,0,1,0.875468737,3.181796817,16.09057996
14,22686994,Phaethornis_stuarti,Phaethornis_stuarti,White-browed Hermit,Least Concern,0,Decreasing,1,2.9,26.31,147916.9,0,1000,1000,17.55794918,Not a Migrant,0,Medium,0,1,1.064710737,3.269949095,11.90440591
15,22687013,Eutoxeres_aquila,Eutoxeres_aquila,White-tipped Sicklebill,Least Concern,0,Unknown,NA,10.6,27.51,306610.3,0,2400,2400,24.67486214,Not a Migrant,0,High,1,1,2.360854001,3.314549575,12.63333284
16,22687016,Eutoxeres_condamini,Eutoxeres_condamini,Buff-tailed Sicklebill,Least Concern,0,Decreasing,1,10.79,23.91,368098.8,0,3300,3300,17.03876782,Not a Migrant,0,Medium,0,1,2.378619779,3.174296781,12.81610666
17,22687019,Androdon_aequatorialis,Androdon_aequatorialis,Tooth-billed Hummingbird,Least Concern,0,Decreasing,1,7.3,40.03,113195.7,0,1100,1100,26.84889436,Not a Migrant,0,High,1,0,1.987874348,3.689629173,11.63687346
18,22687022,Ramphodon_naevius,Ramphodon_naevius,Saw-billed Hermit,Near Threatened,0,Decreasing,1,7.9,39.4,220328.7,0,500,500,33.76477308,Not a Migrant,0,High,1,1,2.066862759,3.673765816,12.3028758
19,22687026,Glaucis_dohrnii,Glaucis_dohrnii,Hook-billed Hermit,Endangered,1,Decreasing,1,5.8,28.39,978.2,0,500,500,29.98759672,Not a Migrant,0,High,1,1,1.757857918,3.34603697,6.885714148
20,22687032,Doryfera_johannae,Doryfera_johannae,Blue-fronted Lancebill,Least Concern,0,Decreasing,1,4.81,30.73,459626.7,280,1800,1520,12.78567618,Not a Migrant,0,High,1,0,1.570697084,3.425239376,13.03816992
21,22687035,Doryfera_ludovicae,Doryfera_ludovicae,Green-fronted Lancebill,Least Concern,0,Unknown,NA,6,38.11,387149.3,500,3200,2700,23.94985124,Altitudinal Migrant,1,High,1,0,1.791759469,3.640476715,12.86656569
22,22687041,Campylopterus_cuvierii,Phaeochroa_cuvierii,Scaly-breasted Sabrewing,Least Concern,0,Unknown,NA,8.9,24.63,238473.6,0,1200,1200,31.95170631,Not a Migrant,0,Medium,0,0,2.186051277,3.203965212,12.38201389
23,22687066,Campylopterus_rufus,Campylopterus_rufus,Rufous Sabrewing,Least Concern,0,Unknown,NA,7.1,28.5,31220,900,2000,1100,39.90511418,Not a Migrant,0,High,1,0,1.960094784,3.349904087,10.34881419
24,22687069,Campylopterus_hyperythrus,Campylopterus_hyperythrus,Rufous-breasted Sabrewing,Least Concern,0,Stable,0,6.4,22.93,40875.4,1000,2050,1050,8.045215517,Not a Migrant,0,Medium,0,0,1.85629799,3.132446097,10.61828369
25,22687072,Campylopterus_duidae,Campylopterus_duidae,Buff-breasted Sabrewing,Least Concern,0,Unknown,NA,6.05,28.03,102776.9,1220,1700,480,3.516978775,Not a Migrant,0,Medium,0,0,1.800058272,3.333275365,11.5403159
26,22687075,Campylopterus_hemileucurus,Campylopterus_hemileucurus,Violet Sabrewing,Least Concern,0,Unknown,NA,9.72,32.78,314208.3,100,2400,2300,33.98340845,Altitudinal Migrant,1,Medium,0,0,2.274185618,3.489818573,12.65781142
27,22687078,Campylopterus_ensipennis,Campylopterus_ensipennis,White-tailed Sabrewing,Near Threatened,0,Decreasing,1,9.6,29.8,2404.3,400,2000,1600,31.07738922,Not a Migrant,0,Medium,0,0,2.261763098,3.394508394,7.78501408
28,22687083,Campylopterus_falcatus,Campylopterus_falcatus,Lazuline Sabrewing,Least Concern,0,Unknown,NA,7.2,27.03,88174.1,450,3000,2550,29.89150248,Not a Migrant,0,Medium,0,0,1.974081026,3.29694736,11.38706855
29,22687086,Campylopterus_phainopeplus,Campylopterus_phainopeplus,Santa Marta Sabrewing,Endangered,1,Decreasing,1,7.65,28.5,1551,NA,NA,NA,35.63719497,Altitudinal Migrant,1,Low,0,0,2.034705648,3.349904087,7.346655163
30,22687090,Campylopterus_villaviscensio,Campylopterus_villaviscensio,Napo Sabrewing,Near Threatened,0,Decreasing,1,7.38,31.18,36504.6,780,1800,1020,21.11616316,Not a Migrant,0,High,1,0,1.998773639,3.439776864,10.50519356
31,22687094,Eupetomena_macroura,Eupetomena_macroura,Swallow-tailed Hummingbird,Least Concern,0,Unknown,NA,9,24.61,4594109,0,1500,1500,21.80863938,Not a Migrant,0,Low,0,0,2.197224577,3.203152864,15.34028539
32,22687097,Florisuga_mellivora,Florisuga_mellivora,White-necked Jacobin,Least Concern,0,Unknown,NA,7.4,23.87,8105471,0,1600,1600,13.16175855,Not a Migrant,0,Medium,0,0,2.00148,3.17262244,15.90804982
33,22687100,Florisuga_fusca,Florisuga_fusca,Black Jacobin,Least Concern,0,Unknown,NA,8.1,24.88,669756.6,0,1400,1400,30.07041121,Full Migrant,1,Medium,0,0,2.091864062,3.214064268,13.41466964
