Study,Plant_species,Figure,Replicate,X,Y,Y_axis_label,Figure_type,Digitizing_notes,Y_axis_label_standardized,Dye_source_defense
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,5.660506973,99.61576332,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,6.02321907,88.83950448,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,11.64708846,46.90458199,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,28.35932312,22.65301917,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,50.47926542,15.00996084,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,110.3121064,6.15053468,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day1_Jul14,149.4337203,0,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,6.037874104,99.61622129,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,6.025050949,88.93659408,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,12.34503446,63.89572027,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,50.47926542,15.00996084,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,100.2550892,13.12862082,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_latispatha,Fig1A,Day2_Jul15,152.8300245,0,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_acuminata,Fig2,NA,2.45528848,61.51898412,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,7.528187007,49.33482478,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,16.15855906,53.90207319,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,35.36716198,30.01118582,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,46.16237241,44.65965858,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,56.7474673,47.56517649,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,75.34250232,51.77880032,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,65.44647964,35.76896188,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,84.55555414,22.10509591,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,96.18321872,22.1344587,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,105.2212378,17.68758501,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,130.0171601,23.81080703,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,149.5933699,12.951151,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,224.7327478,0.6408969,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,234.2447662,0,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_acuminata,Fig2,NA,265.9565787,0,Percent flowers visited,point,NA,Percent flowers with dye,Undefended
Linhart_1973,Heliconia_imbricata,Fig3,A_Clump1_Days1-3,1.224010074,85.60235064,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,A_Clump1_Days1-3,8.005037078,5.680705191,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,A_Clump1_Days1-3,15.1430437,0.587659158,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,A_Clump1_Days1-3,24.85891516,2.252693438,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,A_Clump1_Days1-3,35.04761905,0.391772772,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,B_Clump1_Day4,0.911475928,94.4097079,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,B_Clump1_Day4,7.647342698,2.628492543,Percent flowers visited,point,NA,Percent flowers with dye,Defended
Linhart_1973,Heliconia_imbricata,Fig3,B_Clump1_Day4,14.90124508,2.218556508,Percent flowers visited,point,NA,Percent flowers with dye,Defended
