"","Clade","Taxon_ID","Species_name_IUCN","Species_name","Common_name","Redlist_category","Threatened","Population_trend","Decreasing","Body_mass","Bill_length","Range_size","Elevation_min","Elevation_max","Elevation_range","Human_footprint","Migratory_status","Migratory_score","Forest_depend_status","Forest_depend_score","Hermit","Body_mass_log","Bill_length_log","Range_size_log"
"1","Hermits","22686903","Glaucis_aeneus","Glaucis_aeneus","Bronzy Hermit","Least Concern",0,"Unknown",NA,4.8,31.35,170965.099999997,"0","1500",1500,29.58524011,"Not a Migrant","0","Medium","0","1",1.56861591791385,3.44521426707893,12.0492147210876
"2","Hermits","22686911","Glaucis_hirsutus","Glaucis_hirsutus","Rufous-breasted Hermit","Least Concern",0,"Decreasing",1,6.76,32.05,7820116.30000026,"0","1800",1800,13.38743313,"Not a Migrant","0","Low","0","1",1.91102289005487,3.46729718336668,15.8722099845337
"3","Hermits","22686919","Threnetes_niger","Threnetes_niger","Sooty Barbthroat","Least Concern",0,"Unknown",NA,5.6,32.98,270305.800000004,"NA","NA",NA,7.570723812,"Not a Migrant","0","Medium","0","1",1.7227665977411,3.49590131713145,12.507309189674
"4","Hermits","22686925","Threnetes_ruckeri","Threnetes_ruckeri","Band-tailed Barbthroat","Least Concern",0,"Unknown",NA,5.2,33.2,482647.799999987,"0","1200",1200,30.92537348,"Not a Migrant","0","Medium","0","1",1.64865862558738,3.50254987592244,13.0870424740979
"5","Hermits","22686931","Phaethornis_yaruqui","Phaethornis_yaruqui","White-whiskered Hermit","Least Concern",0,"Unknown",NA,5.4,45.35,119931.199999994,"0","2000",2000,27.29952005,"Altitudinal Migrant","1","High","1","1",1.68639895357023,3.81441017656115,11.6946735240124
"6","Hermits","22686934","Phaethornis_guy","Phaethornis_guy","Green Hermit","Least Concern",0,"Unknown",NA,6.3,41.62,555184.099999991,"0","2200",2200,23.21335473,"Not a Migrant","0","Medium","0","1",1.84054963339749,3.72858082096549,13.2270550494361
"7","Hermits","22686937","Phaethornis_syrmatophorus","Phaethornis_syrmatophorus","Tawny-bellied Hermit","Least Concern",0,"Unknown",NA,5.8,43.21,159646.999999995,"1000","2300",1300,23.8423389,"Not a Migrant","0","High","1","1",1.75785791755237,3.76607194994384,11.9807204068608
"8","Hermits","22686955","Phaethornis_anthophilus","Phaethornis_anthophilus","Pale-bellied Hermit","Least Concern",0,"Unknown",NA,5.9,36.53,413683.499999991,"0","1500",1500,29.49908423,"Not a Migrant","0","Medium","0","1",1.77495235091167,3.59813384080719,12.9328564676802
"9","Hermits","22686961","Phaethornis_koepckeae","Phaethornis_koepckeae","Koepcke's Hermit","Near Threatened",0,"Decreasing",1,5.03,37.08,112547.499999999,"270","1130",860,14.8659664,"Not a Migrant","0","High","1","1",1.61541998411165,3.61307774069765,11.6311306337381
"10","Hermits","22686965","Phaethornis_philippii","Phaethornis_philippii","Needle-billed Hermit","Least Concern",0,"Unknown",NA,5,35.98,1596477.10000005,"0","325",325,7.302827385,"Not a Migrant","0","High","1","1",1.6094379124341,3.58296322852239,14.2833099471569
