"","CI_type","Response","Variable","Estimate","LowerCI","UpperCI","z.value","p.value","Estimate_odds","LowerCI_odds","UpperCI_odds","Estimate_prob","LowerCI_prob","UpperCI_prob","Estimate_odds2x","LowerCI_odds2x","UpperCI_odds2x","Estimate_odds0.5x","LowerCI_odds0.5x","UpperCI_odds0.5x","Signif_level"
"1","Bootstrap","Threatened","Intercept",-4.43,-5.65,-3.18,NA,NA,0.01,0,0.04,0.01,0,0.04,NA,NA,NA,NA,NA,NA,"0 < P < 0.05"
"2","Bootstrap","Threatened","Ln Body mass",0.07,-0.75,0.84,NA,NA,1.07,0.47,2.31,0.52,0.32,0.7,1.05,0.59,1.79,0.95,0.56,1.68,"P > 0.05"
"3","Bootstrap","Threatened","Ln Bill length",-0.64,-1.57,0.33,NA,NA,0.53,0.21,1.39,0.35,0.17,0.58,0.64,0.34,1.26,1.56,0.79,2.97,"P > 0.05"
"4","Bootstrap","Threatened","Ln Range size",-2.41,-3.42,-1.63,NA,NA,0.09,0.03,0.2,0.08,0.03,0.16,0.19,0.09,0.32,5.33,3.09,10.69,"0 < P < 0.05"
"5","Bootstrap","Threatened","Elevational range",0.05,-0.66,0.78,NA,NA,1.05,0.52,2.18,0.51,0.34,0.69,NA,NA,NA,NA,NA,NA,"P > 0.05"
"6","Bootstrap","Threatened","Human footprint within range",-0.44,-1.1,0.2,NA,NA,0.64,0.33,1.23,0.39,0.25,0.55,NA,NA,NA,NA,NA,NA,"P > 0.05"
"7","Bootstrap","Threatened","Migrant",-1.2,-3.12,0.34,NA,NA,0.3,0.04,1.41,0.23,0.04,0.59,NA,NA,NA,NA,NA,NA,"P > 0.05"
"8","Bootstrap","Threatened","Forest specialist",1.11,0.02,2.28,NA,NA,3.03,1.02,9.8,0.75,0.5,0.91,NA,NA,NA,NA,NA,NA,"0 < P < 0.05"
"9","Bootstrap","Threatened","Hermit",0.6,-2.41,3.16,NA,NA,1.82,0.09,23.56,0.65,0.08,0.96,NA,NA,NA,NA,NA,NA,"P > 0.05"
"10","Bootstrap","Threatened","alpha",66.5885289181126,0.032233727131751,96.0388260864812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Bootstrap","Decreasing population","Intercept",0.11,-0.59,0.61,NA,NA,1.12,0.55,1.83,0.53,0.36,0.65,NA,NA,NA,NA,NA,NA,"P > 0.05"
"12","Bootstrap","Decreasing population","Ln Body mass",0.33,-0.17,0.89,NA,NA,1.4,0.84,2.45,0.58,0.46,0.71,1.26,0.89,1.86,0.79,0.54,1.13,"P > 0.05"
"13","Bootstrap","Decreasing population","Ln Bill length",-0.35,-0.95,0.13,NA,NA,0.7,0.39,1.14,0.41,0.28,0.53,0.78,0.52,1.1,1.27,0.91,1.94,"P > 0.05"
"14","Bootstrap","Decreasing population","Ln Range size",-0.74,-1.31,-0.25,NA,NA,0.48,0.27,0.78,0.32,0.21,0.44,0.6,0.4,0.84,1.67,1.19,2.48,"0 < P < 0.05"
"15","Bootstrap","Decreasing population","Elevational range",-0.37,-0.77,-0.04,NA,NA,0.69,0.46,0.96,0.41,0.32,0.49,NA,NA,NA,NA,NA,NA,"0 < P < 0.05"
"16","Bootstrap","Decreasing population","Human footprint within range",-0.16,-0.66,0.26,NA,NA,0.85,0.52,1.29,0.46,0.34,0.56,NA,NA,NA,NA,NA,NA,"P > 0.05"
"17","Bootstrap","Decreasing population","Migrant",-0.77,-1.58,0,NA,NA,0.46,0.2,1,0.32,0.17,0.5,NA,NA,NA,NA,NA,NA,"0 < P < 0.05"
"18","Bootstrap","Decreasing population","Forest specialist",1.44,0.77,2.22,NA,NA,4.23,2.16,9.2,0.81,0.68,0.9,NA,NA,NA,NA,NA,NA,"0 < P < 0.05"
"19","Bootstrap","Decreasing population","Hermit",1.41,-0.06,3.27,NA,NA,4.09,0.95,26.27,0.8,0.49,0.96,NA,NA,NA,NA,NA,NA,"P > 0.05"
"20","Bootstrap","Decreasing population","alpha",7.60377370887816,1.87918813681765,95.9832264944177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
